Title,Price,Category,Condition,Material,Description,URL
Gaming chair For Sell - Executive chair - Visitor Chair - Office Chair,11499.0,Furniture,New,,"Description ------WELCOME TO NIAZ OFFICE FURNITURE------

Upgrade your workspace with our high-quality office chairs! Choose from ergonomic, adjustable, and executive designs for maximum comfort and support. Affordable prices, excellent condition, and available in Karachi, Pakistan. Perfect for offices, home setups, or coworking spaces. Contact now for the best deals!

**Our Top products** 

-> Master Chair 
-> Comfortable Chair 
-> Executive Revolving Chair 
-> Office Chair 
-> Waiting Sofa 
-> Boss Chair 
-> Counter Chair 
-> Stool Chair 
-> Gaming Chiar 
-> Visitor Chair

For More Details contact us on Watsapp or call
---------------",https://www.olx.com.pk/item/gaming-chair-for-sell-executive-chair-visitor-chair-office-chair-iid-1103048589
bedroom set,12000.0,Bed,Used,Others,"Description complete bedroom set 
1 king size bed 
1 sliding almira 
1 sethi 
2 side table and 1 dressing table",https://www.olx.com.pk/item/bedroom-set-iid-1104207012
For sell,10000.0,Furniture,Used,,Description Devider with huge space,https://www.olx.com.pk/item/for-sell-iid-1105436130
Solid Pure wood Dining table,50000.0,Furniture,Used,,"Description 6 chairs set 
Solid Shesham wood dining table",https://www.olx.com.pk/item/solid-pure-wood-dining-table-iid-1105436141
Revolving chair for sale,3000.0,Furniture,Used,,Description Big revolving chair with very cheap price,https://www.olx.com.pk/item/revolving-chair-for-sale-iid-1105436163
Study Table,8000.0,Furniture,Used,,"Description Study Table Used 
Condition is 9 on 10
It's not broken or heavily damaged just need polish if you need new like look",https://www.olx.com.pk/item/study-table-iid-1105436170
SOFA'S,14000.0,Sofa,Used,,Description GREY COLOR 1 LARGE 4 SEATERS AND 2 SOFAS 1 SEATERS IN GOOD CONDITIONS AND MASTER MOLTY FOAM AND SHISH AM WOOD,https://www.olx.com.pk/item/sofas-iid-1105436181
L shap sofa memory foam,90000.0,Furniture,Used,,Description Gray L shap sofa good condition used,https://www.olx.com.pk/item/l-shap-sofa-memory-foam-iid-1105436211
bed double decker iron,23000.0,Bed,Used,Iron,"Description Title:  Double Decker Iron Bunk Bed – 3x6 ft – For Sale

Description:
Strong and durable double decker iron bunk bed in excellent condition. 

Size: 3x6 ft

Solid iron frame with wooden base

Safe and sturdy design

Ideal for hostels, PGs, or home use


 Location: Karachi, Clifton
 Price: Rs. 23,000 (Negotiable)
 Contact:  (View phone number)",https://www.olx.com.pk/item/bed-double-decker-iron-iid-1105436214
Children Furniture For Sale,15000.0,Bed,Used,Iron,"Description 2 Iron single beds without mattress 
1 book shelf iron frame and wooden boxes 
1 side table",https://www.olx.com.pk/item/children-furniture-for-sale-iid-1105436216
chairs,12000.0,Furniture,New,,Description 4 piece wooden chairs,https://www.olx.com.pk/item/chairs-iid-1105436247
5 seater sofa set for sale,25000.0,Sofa,Used,,Description 5 seater sofa set is for sale .,https://www.olx.com.pk/item/5-seater-sofa-set-for-sale-iid-1105436249
2 door almari almirah cupboard,11000.0,Furniture,Used,,Description 2 door almari in used condition is good,https://www.olx.com.pk/item/2-door-almari-almirah-cupboard-iid-1105436292
furniture patex complete bedroom set,50000.0,Bed,Used,Wood,Description complete bedroom set hai use Mai Jo 2 Saal pahla Liya tha chota mota Kam hai Baki sub set hai jis na Bhi Lana ho rabta karay  (View phone number),https://www.olx.com.pk/item/furniture-patex-complete-bedroom-set-iid-1105436299
Double pressed  fiber iron brand new shade for window,7000.0,Furniture,New,,"Description Brand new Double pressed iron fiber shade with beautiful floral print
Size length 3.5 wirth 2.5",https://www.olx.com.pk/item/double-pressed-fiber-iron-brand-new-shade-for-window-iid-1101718411
Bad and Almari,15000.0,Bed,Used,Wood,Description new ha 1 year used ha condition bilkul saf ha reply ap ko call ya Whatsapp pr Mily ga  (Chat with seller),https://www.olx.com.pk/item/bad-and-almari-iid-1105436338
tensile sheds/tensile conopy/fiber sheds/tensile shade/policabnat shed,55000.0,Furniture,New,,"Description Available for delivery and installation across Islamabad & Rawalpindi and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0/3/3/1/5/1/2/2/2/2/4}",https://www.olx.com.pk/item/tensile-shedstensile-conopyfiber-shedstensile-shadepolicabnat-shed-iid-1103554130
Painting on Canvas.,4000.0,Furniture,New,,"Description Acrylics on canvas size 2 ft x 3ft. 
for wall hangings new painting.",https://www.olx.com.pk/item/painting-on-canvas-iid-1105435732
Furniture Not Used,95000.0,Bed,New,Iron,"Description Bilkul New Hain Sub
Bad With Dressing With Drows",https://www.olx.com.pk/item/furniture-not-used-iid-1105435761
Dining table,25000.0,Furniture,Used,,Description Dining table with 6 chairs in good condition is for sale. Very cheap price.,https://www.olx.com.pk/item/dining-table-iid-1105435764
sofa 7 seater,30000.0,Sofa,Used,,Description 7 seater sofa  neat and clean  only serious buyer contact,https://www.olx.com.pk/item/sofa-7-seater-iid-1104228247
dressing table + 2 side table,8000.0,Furniture,Used,,Description dressing table+ 2 side drawers/tables. made of pure strong wood can be polished again. no sign of termites,https://www.olx.com.pk/item/dressing-table-2-side-table-iid-1105435814
sofa set,35000.0,Sofa,Used,,Description full sofa set without tables,https://www.olx.com.pk/item/sofa-set-iid-1105435855
Two seater sofa setty with storage in the back,16000.0,Sofa,Used,,"Description Two seater sofa setty with storage in the back with two removable mattresses and removable and washable covers 

need to sale urgently",https://www.olx.com.pk/item/two-seater-sofa-setty-with-storage-in-the-back-iid-1105435858
High-End Table with Metal Frame – Modern & Durable,16000.0,Furniture,Used,,"Description Upgrade your workspace or home with this premium quality table, featuring a solid engineered wood top paired with a sleek black powder-coated metal frame. Built for durability and modern aesthetics, this table is ideal for both office and home use. 

 Size: Spacious enough for a comfortable workstation
Dimensions: L = 60, W = 32, H = 33 in Inches
 Top Material: Smooth-finish wood with a rich grain texture
 Frame: Heavy-duty metal with geometric design for enhanced stability
 Condition: Like new – used only for display
 Style: Industrial-modern with a minimalistic touch

Perfect for:
 Home office setups
 Study tables
 Creative studio desks
 Minimalist interiors

 Asking Price: PKR 15,000
 Location: Near Lake CIty

 DM or WhatsApp me on Zero Three Four Zero Six Zero Three Six One Zero Two  or call now for more details. Serious buyers only, please.",https://www.olx.com.pk/item/high-end-table-with-metal-frame-modern-durable-iid-1102709883
3 door wardrobe,5000.0,Wardrobe,Used,,Description 3 door fix wardrobe  only,https://www.olx.com.pk/item/3-door-wardrobe-iid-1103041017
Queen bed,18000.0,Bed,Used,Wood,"Description Queen size bed, strong and in good condition. If you are interested then contact  (View phone number)  and  (View phone number)",https://www.olx.com.pk/item/queen-bed-iid-1104582967
theam VIP,35000.0,Furniture,Used,,Description one hand us VIP wood jhoula for seal,https://www.olx.com.pk/item/theam-vip-iid-1105435919
"Double bed with side small tables dressing table, and dining table",25000.0,Bed,Used,Wood,Description Double bed side tables dressing table and swinging dining table with 4 chairs used old furniture,https://www.olx.com.pk/item/double-bed-with-side-small-tables-dressing-table-and-dining-table-iid-1105435925
1- Seater Sofa,80000.0,Sofa,Used,,"Description 1-Seater Sofas – Good Condition

Selling 2 comfortable and stylish 1-seater sofas. Soft cushions, tufted backrest, and strong wooden legs. Perfect for living room, bedroom, or office. 

Condition: Used, well-maintained

Color: Cream with patterned design

Price: Reasonable & negotiable 

Grab them before they’re gone!",https://www.olx.com.pk/item/1-seater-sofa-iid-1105435941
Three seater sofa bed setty with two storage compartments,20000.0,Furniture,Used,,"Description Three seater sofa bed setty with two storage compartments, two removable mattresses and removable, washable covers 

need to sale urgently",https://www.olx.com.pk/item/three-seater-sofa-bed-setty-with-two-storage-compartments-iid-1105435957
Restaurant furniture/hotel table/dining table/chairs/Cafe furniture,15000.0,Furniture,New,,"Description We have been manufacturing since 2015. Restaurant, sofa, table, furniture in the Gujranwala. 

Key features:

1. 	Consider the concept and theme of the restaurant
2. 	Expert advice on how to adapt the furniture to the restaurant’s concept and theme
3. 	How choosing furniture to match the restaurant’s brand and style can enhance the overall customer experience
4. 	Prioritise comfort and durability
5. 	Look for versatility in furniture design
6. 	Optimise your restaurant space
7. 	Keeping up to date with furniture trends
8. 	Choosing the best materials for your restaurant furniture
9. 	Consider the budget
10. 	Pay attention to details
11. 	Final thoughts on the importance of selecting the best restaurant furniture
contact us
0/3/3/3/8/1/9/5/2/0/3",https://www.olx.com.pk/item/restaurant-furniturehotel-tabledining-tablechairscafe-furniture-iid-1004415083
Medicated Double Single spring mattress for sale / free home delivery,7500.0,Bed,New,Medicated,"Description We have all sizes mattressess available on very good rate

4 Inch single matress 8000
5 inch single matress 10000

We deal in 
=/ SIngle mattress
=/ Double mattress
=/ Spring Mattress
=/ Sofa gadi 
=/ Goal pilo
=/ pilo 

Shop location : Shop number 101, mandi stop main multan Road Lahore 
Contact us :03/20 - 6/53/48/77

Free home delivery in all over Lahore",https://www.olx.com.pk/item/medicated-double-single-spring-mattress-for-sale-free-home-delivery-iid-1102799170
Jaguard L shaped sofa,50000.0,Furniture,Used,,"Description L shaped sofa in very good condition. 

contact for any more details. pictures of sofa are orignal and uploaded
contact:  (View phone number)",https://www.olx.com.pk/item/jaguard-l-shaped-sofa-iid-1105435419
Bed set with two side tables and dressing table,65000.0,Bed,Used,Wood,"Description 8/10 
Without mattress
Two side tables
Dressing table",https://www.olx.com.pk/item/bed-set-with-two-side-tables-and-dressing-table-iid-1105435434
Five Seater Sofa for Sale. 03009569508,22000.0,Sofa,Used,,"Description One 3 Seater 
2 single Seater",https://www.olx.com.pk/item/five-seater-sofa-for-sale-03009569508-iid-1104161347
office chair,5000.0,Furniture,Used,,Description Very good condition.,https://www.olx.com.pk/item/office-chair-iid-1105435486
8 seater dinning table,15000.0,Furniture,Used,,"Description 8 seater dinning table 
pure wood",https://www.olx.com.pk/item/8-seater-dinning-table-iid-1105435512
ALLAH DAKH RAHA HAI JO B BAAT HO GI HAQ SUCH HOGI,55000.0,Furniture,Used,,Description jahaiz ka saman hai compleat shokas . bad with said table safe almari lakri wali darassan table room sofa with sofa set other iron stand with all itam microwave automatic machine salie machine chine k bartan set patiya Yani pura saman hai munasab qeemat py mil jayga what's up per rabta kary ay AUR saman dakhy baat kary AUR ly jay,https://www.olx.com.pk/item/allah-dakh-raha-hai-jo-b-baat-ho-gi-haq-such-hogi-iid-1105435542
Carpet,7500.0,Furniture,Used,,"Description good condition 
length 12.5 feet
width 13 feet
Neat and clean",https://www.olx.com.pk/item/carpet-iid-1105435568
Sofa cum bed/Double cumbed/LShape/Combed/Double bed/Set/Foam Mattress,19990.0,Furniture,New,,"Description * All sofa cumbeds different prices. . . 

* After discount prices 19990 to 28500. . . 

* 15 years warranty with pure solid wooden structure. . . 

* Master Molty foam (Original with warranty card). . . 

* Orignal product Manufacture. . 

* All sofa Cum bed available in (stock ready). . . 

* Available in all colours to match any decor. . 

* Customize dimensions, Design , or Fabric upon request. . . 

* Best quality and finishing. . 

* We never compromise in quality. . . 

* for more details and information please contact us  0304/83/75/75/7

Jazakallah",https://www.olx.com.pk/item/sofa-cum-beddouble-cumbedlshapecombeddouble-bedsetfoam-mattress-iid-1105435612
Complete Furniture,65000.0,Bed,Used,Wood,"Description Bed Mattress Almari Side Tables Singhar maiz

Like New

 (Chat with seller)",https://www.olx.com.pk/item/complete-furniture-iid-1105435621
Multicolor LED light  Cash on dilevery all of Pakistan,1200.0,Furniture,Used,,"Description contact on WhatsApp  (View phone number) 
*Product Name*: Multicolor LED USB Light
*Product Description*: Transform Your Space With This Vibrant 16.4Ft (5M) Rgb Led Light Strip. Perfect For Creating A Colorful Atmosphere For Any Occasion, It Features A Usb Plug For Easy Power And A Remote For Customizable Lighting Options. 
*Product Details*:Material: PVC
Charging Ports: USB
Product Feature: Multicolor
Color: Multicolor
Package Includes: 1 x LED Light Strip, 1 x Remote Control
Length: 500 Cm
Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effect",https://www.olx.com.pk/item/multicolor-led-light-cash-on-dilevery-all-of-pakistan-iid-1105435624
2 Seater Grey Sofa – Good Condition,18000.0,Sofa,Used,,"Description Selling my 2 seater grey sofa in good condition. Comfortable, simple, and fits well in small spaces. Hardly used and well kept.",https://www.olx.com.pk/item/2-seater-grey-sofa-good-condition-iid-1105435627
Moon wall lamp,7999.0,Furniture,New,,"Description Turn Your Walls into Art

Not just a product. . . a glow you'll feel and stories your walls will tell. 

Bring the glow of the moon into your home.",https://www.olx.com.pk/item/moon-wall-lamp-iid-1105435691
never used showcase for urgent sale,20000.0,Furniture,Used,,"Description I am selling new showcase. never used due to space issue. made on order with Tali wood. selling price is 20,000/-. it can be used for jahaiz. just need polish. very strong and hard and durable. call on  (View phone number)",https://www.olx.com.pk/item/never-used-showcase-for-urgent-sale-iid-1105435706
Nesting Center Table,22000.0,Furniture,Used,,"Description Bigh Size Center Table
Condition : New
Size : Large
Dimentions :
Length : 60inh
Width   : 30inh
Height  : 18inh",https://www.olx.com.pk/item/nesting-center-table-iid-1104218447
bed /double bed/king size bed set/bedroom furniture/bridal set/woo,29999.0,Bed,New,Wood,"Description We are manufacturing all types of Furniture on Factory Price. 

With Good Polish and Original Wood
Bed 33k
side table 12k

Also we repaint and polish your old furniture

Solid and beautiful bedroom set available in reasonable price. 

We are manufacturing all types quality furniture. 

Best and no 1 quality material used in all products. 

Graceful and decent design. Best quality and finishing

Solid wood structure and 1st quality material used. 

No compromise in quality of products and polish
Contact for more details",https://www.olx.com.pk/item/bed-double-bedking-size-bed-setbedroom-furniturebridal-setwoo-iid-1104389412
Bed set/wooden bed/luxury bed/Bed for sale/double bed,90000.0,Bed,Used,Wood,"Description Bed set/wooden bed/luxury bed/Bed for sale/double bed/ imported bed set
we are selling complete bed set including bed with 2 side tables,big storage drawers. we are selling items because of shifting. 
No repair needed. 
Better to visit for more clarity
For more details contact here",https://www.olx.com.pk/item/bed-setwooden-bedluxury-bedbed-for-saledouble-bed-iid-1104258589
office chair  hadrulic,8000.0,Furniture,Used,,Description office chair hadrulic. bilkul oky hein 2 lever hein,https://www.olx.com.pk/item/office-chair-hadrulic-iid-1105435290
mattress,15000.0,Bed,Used,Foam,Description 6 by 6 or 6 inch warranty card available,https://www.olx.com.pk/item/mattress-iid-1104198646
ragg justi,20000.0,Furniture,Used,,"Description bhari/wazni 2 ragg hean siz 8×3.5
price 18000 finally
Lene khod aana hoga baldia town sector 9
0/3/4/5/2/8/4/4/8/4/3  نمبر بند ہونے کی صورت میں دوسرے دن کال کریں",https://www.olx.com.pk/item/ragg-justi-iid-1104224360
home decoration bed sheets,3500.0,Furniture,Used,,Description sub saman ke different price he is ke ilawa blanket bed sheets with wiky raziai dinner set nimko dish jug glass set tray dishes ptily pialiya plates salad k bowls plastic k lunch box cup glass unstitchd  clothes ladies gent's baby Suit socks gloves caps nightees trousers shirts blanket quran box hair curling machine makeup jewellery scarf obya second hand clothes ladies maxis scult sholder bag travel bags table plastic sheet flour plastic central qaleen chataiya chamchiya  food factory jis me,https://www.olx.com.pk/item/home-decoration-bed-sheets-iid-1104756718
fries counter movable 03030075623,13500.0,Furniture,Used,,"Description fries counter movable
with all smaan. 
with 12 volt lighting
with 12. volt bettry
more info 
 (View phone number)",https://www.olx.com.pk/item/fries-counter-movable-03030075623-iid-1105435311
L-shaped sofa with table,25000.0,Furniture,Used,,Description L-shaped sofa with coffee table available for sale,https://www.olx.com.pk/item/l-shaped-sofa-with-table-iid-1105435320
mobile counter Argant sale,25000.0,Furniture,Used,,"Description mobile counter for sale Argant 6ft 4ft2  2 piece 
abuo ja raha hn is ley sale kr raha hn",https://www.olx.com.pk/item/mobile-counter-argant-sale-iid-1105435369
King Bed With 2 Side Tables Best Quality In Your Choice Colours,35000.0,Bed,New,Wood,Description King Bed With 2 Side Tables Best Quality In Your Choice Colours Classic Design,https://www.olx.com.pk/item/king-bed-with-2-side-tables-best-quality-in-your-choice-colours-iid-1101925151
EXACTIVE OFFICE TABLE,70000.0,Table,New,,"Description exactive office table UV sheet with side side rack l shape all size available 
contact.  (View phone number)",https://www.olx.com.pk/item/exactive-office-table-iid-1103981748
luxury drawing room sofa set,40000.0,Sofa,Used,,"Description chesterfield, track arms curved and modular sofas 7 seater",https://www.olx.com.pk/item/luxury-drawing-room-sofa-set-iid-1104227974
organizer + 75% lengthed mirror,15000.0,Wardrobe,Used,,"Description Dark brown, tall and slender organizer with a lengthy mirror, multiple compartments and drawers with lock! 

گہرا بھورا، لمبا اور پتلا آرگنائزر جس میں ایک لمبا آئینہ، ایک سے زیادہ کمپارٹمنٹس اور دراز لاک کے ساتھ!",https://www.olx.com.pk/item/organizer-75-lengthed-mirror-iid-1105435382
Turkish Premium quality Rugs,36000.0,Furniture,New,,Description or now Whatsapp or inbox,https://www.olx.com.pk/item/turkish-premium-quality-rugs-iid-1105435386
Iron table used with cover ( best condition),12000.0,Furniture,Used,,"Description large size 
3 adjusting options
for queries contact
 (View phone number)",https://www.olx.com.pk/item/iron-table-used-with-cover-best-condition-iid-1105435409
Sofa for sale,80000.0,Furniture,Used,,Description 10 by 10 condition without even a single scratch on it,https://www.olx.com.pk/item/sofa-for-sale-iid-1105240072
"Study Table ,Computer Table Laptop Table Office Table Working Table",3499.0,Furniture,New,,"Description SIZE: 3×2(3,499), 4×2(6,499)
MDF SHEET (A+QUALITY)
METAL FRAME
CABLE HOLES
FURNITURE PADS

MAKE YOUR OWN SIZE OF TABLES AND WORKSTATIONS ON CUSTOMER DEMANDS. 

FOR MORE DETAILS CONTACT ON WHATSAPP. 
 (View phone number)",https://www.olx.com.pk/item/study-table-computer-table-laptop-table-office-table-working-table-iid-1082349418
Blinds | Window Blinds | Zebra Blinds | Office Blinds | Roller Blinds,24500.0,Furniture,New,,"Description WELCOME TO AKHTAR INTERIOR

1. office and Home Blinds
245/=

2. Curtains 
1450/=

3. Wallpaper's 
75/=

4. PVC/WPC
100/=

5. Vinyl Floor / Wood Floor
125/=


FOR MORE UP DETAILS CONTACT US",https://www.olx.com.pk/item/blinds-window-blinds-zebra-blinds-office-blinds-roller-blinds-iid-1104253313
Saloon Chair/ Barber chair/Adjustable salon chair/ Classic chair,18000.0,Furniture,Used,,"Description Condition: Excellent – Used with care
Color: Black (Premium Leather Finish)
Features:

360° Rotation

Adjustable Height (Hydraulic Pump)

Soft Cushion Seat for Extra Comfort

Durable Steel Base – Long Life Guarantee


Perfect for salons, barber shops, or home use. No damage, no repairs needed – ready to use!",https://www.olx.com.pk/item/saloon-chair-barber-chairadjustable-salon-chair-classic-chair-iid-1105096527
dining table set/dining chairs/dining set (manufacturers )(,46000.0,Furniture,Used,,"Description structure purely shisham wood polish or cushion cover on demand
warranty foam demak or joints 10 years

Haider Ali",https://www.olx.com.pk/item/dining-table-setdining-chairsdining-set-manufacturers-iid-1105435183
Sofa Sail,50000.0,Sofa,New,,"Description Sofa Set for Sale – Excellent Condition
3-seater + 2 chairs | Comfortable cushions | Hard wood frame
 Only 1 year used
 Neat & Clean
 No damages
 Location: Karachi. Gulshan e Iqbal block 6-- main university road karachi
 Demand: Rs.  50,000

Serious buyers contact inbox or WhatsApp:  (Chat with seller)",https://www.olx.com.pk/item/sofa-sail-iid-1105435185
1 week Salle,25000.0,Furniture,Used,,Description goladan brown collar discopainte,https://www.olx.com.pk/item/1-week-salle-iid-1105435188
New bed set urgent sale,40000.0,Bed,New,Others,"Description 1 week pahly lia
Ha urjent sale
Larna ha 
New
Ha bilkul",https://www.olx.com.pk/item/new-bed-set-urgent-sale-iid-1105435197
BRAND NEW BED,40000.0,Bed,Used,Others,"Description 1month use h Sirf 
bed 
2 side tables with dressing",https://www.olx.com.pk/item/brand-new-bed-iid-1105435212
"Sofa Set 1,2 & 3 seaters",75000.0,Sofa,Used,,"Description Sofa set 1, 2 & 3 seaters. 
3 years used. Condition is very good. Never repaired. Dark Brown. Want to sell immediately. Reasonable price.",https://www.olx.com.pk/item/sofa-set-12-3-seaters-iid-1105435226
4 doors wardrobe plus high capacity with up side,35000.0,Wardrobe,Used,,Description urgent sale for house shifting,https://www.olx.com.pk/item/4-doors-wardrobe-plus-high-capacity-with-up-side-iid-1105435240
7 seater sofa for sale,75000.0,Sofa,Used,,Description 7 Seater Sofa for sale,https://www.olx.com.pk/item/7-seater-sofa-for-sale-iid-1105435243
bakery ke Saman ka counter hai argent seld 03122641644,50000.0,Furniture,Used,,"Description urgent sale out karna hai do anmari hain ek jaise
 (View phone number)",https://www.olx.com.pk/item/bakery-ke-saman-ka-counter-hai-argent-seld-03122641644-iid-1105435260
Tv table,20000.0,Furniture,Used,,"Description In new condition, not damaged at all, used for 1 or 2 months.",https://www.olx.com.pk/item/tv-table-iid-1105435267
Imported TV Trolley for Sale,30000.0,Furniture,Used,,"Description A fancy solid marble top combined with high-quality wood work. 

As good as new. Buy it before its sold out. Price flexible. 

Contact on WhatsApp:  (View phone number)",https://www.olx.com.pk/item/imported-tv-trolley-for-sale-iid-1105435269
Bed set,45000.0,Bed,Used,Wood,"Description Full luxury high quality turkish full bed set.   bed with control chart and storage. Without mattress
Only 6 month used. 
Time waster stay away.",https://www.olx.com.pk/item/bed-set-iid-1105332366
sofa set | Sofa Maker | sofa repairing | Fabric change | sofa poshish,2000.0,Sofa,New,,"Description ______ELITE FURNITURE______

Sofa And & Repair At your house in Reasonable Price. 

Sofa Poshish.  
Deewan poshish. 
setie poshish. 
Sofa cum Bed
Sofa reparing. 
Sofa Making. 
Sofa Lose cover. 
Cornor Poshsih
 
We provide best poshish  worker for work at your home on factory rate. 

For detail Call or Whatsapp
For any information You can Contact Us:",https://www.olx.com.pk/item/sofa-set-sofa-maker-sofa-repairing-fabric-change-sofa-poshish-iid-1104514977
5 siter sofa set,35000.0,Furniture,Used,,Description New h covers charha k rakhe hoye thae,https://www.olx.com.pk/item/5-siter-sofa-set-iid-1105434952
Sofa For Sale 7 seaters,30000.0,Sofa,Used,,Description Sofa For sale Saf sitri condition mai hai,https://www.olx.com.pk/item/sofa-for-sale-7-seaters-iid-1105434976
Bed Room Chairs,25000.0,Furniture,Used,,Description Slightly used. 06 months old. Made of pure wood. Reasonable price. Want to sell immediately.,https://www.olx.com.pk/item/bed-room-chairs-iid-1105434993
Mirror dinning table with 6 chairs,50000.0,Furniture,Used,,Description 6 chairs with dinning table,https://www.olx.com.pk/item/mirror-dinning-table-with-6-chairs-iid-1105435001
SMD PARTY LIGHT,20500.0,Furniture,New,,"Description SMD PARTY LIGHT 7 COLOURS,
(BOX PACK)
UNLIMITED FUNCTIONS,
SPECIALLY USED FOR DJ NIGHT PARTY INDOOR OUTDOOR & NEW SHOP OPENING WEDDINGS EVENTS etc. . . . 
auto mode,
Manual Mode. 
DMX controller,
all colours flash system,
please contact Whatsapp for videos
0/3/0/6 0/4/2/0/7/79",https://www.olx.com.pk/item/smd-party-light-iid-1100828088
New Maroon Printed Curtains,1250.0,Furniture,Used,,"Description condition new hai
2 pieces",https://www.olx.com.pk/item/new-maroon-printed-curtains-iid-1105191199
Sofa Chairs 2 pieces,45000.0,Sofa,Used,,"Description selling almost new condition 10/10 Sofa chairs 
color is Gray  barely 1 month in use",https://www.olx.com.pk/item/sofa-chairs-2-pieces-iid-1105435055
dressing table,15000.0,Furniture,Used,,Description Assalam o alekum im selling my dressing table is me 3 drozen hain or ak cupboard hai condition 10 to 8 hai,https://www.olx.com.pk/item/dressing-table-iid-1105435075
L Shaped Sofa For Sale,70000.0,Furniture,Used,,Description L Shaped Sofa For Sale price  munasib price,https://www.olx.com.pk/item/l-shaped-sofa-for-sale-iid-1105435103
Sofa set,15000.0,Sofa,Used,,Description Six seater sofa set in good condition urgent sale,https://www.olx.com.pk/item/sofa-set-iid-1099478948
6pcs dining table,30000.0,Furniture,Used,,Description like new no damage no broken 1month he hua h purchase Kiye h passon ki urgent need hogye h jbhi sale krna h. only series buyer contact khud pick krna hoga,https://www.olx.com.pk/item/6pcs-dining-table-iid-1103039916
wooden with glass table,3500.0,Furniture,Used,,Description good condition urgently sale Karachi pickup Serious buyers contact me,https://www.olx.com.pk/item/wooden-with-glass-table-iid-1104147438
Side Table With Shelves for Side Tables,1500.0,Furniture,Used,,Description This is the table I bought a year ago and I used to keep my books and other decorations stuff.,https://www.olx.com.pk/item/side-table-with-shelves-for-side-tables-iid-1104441157
Garden Chairs/outdoor chairs/chairs/Furniture/Lawn Chairs/Rattan Chair,40000.0,Furniture,New,,"Description We are manufacturing outdoor furniture. 
Unbreakable chairs providing unending relaxation. 
A best Gift you can give to your Garden . 

Garden Chairs:
Sturdy UPvc Structure
Imported Fabric
Waterproof (Easy to wash)
Easy to move
Durable and High Quality
Unique Color. 

Best For Garden, Patio, Terrace, Cafes, Coffee shops and Restaurants. 

Special Discount for Hotels and Restaurants For Bulk Quantity
Do contact for further  information 0/3/2/2/5/2/2/3/8/4/1",https://www.olx.com.pk/item/garden-chairsoutdoor-chairschairsfurniturelawn-chairsrattan-chair-iid-1104591111
Computer Table/Laptop Table/Study Table/Workstation,3399.0,Furniture,New,,"Description Length 3ft width 2ft Height 2.5ft Rs3400 (Footrest Variant)
Length 3ft width 2ft Height 2.5ft Rs4500(With Bottom Shelf)
Length 4ft width 2ft Height 2.5ft Rs6000 (With bottom shelf)
Colors Available:
Black, white, Wooden and dark brown 
White Frame Extra Charges Rs1000
Material
Metal frame with lamination sheet top sides pvc edge binding 1mm tape 
Delivery Service Available
Whatsapp  (View phone number)",https://www.olx.com.pk/item/computer-tablelaptop-tablestudy-tableworkstation-iid-1099858569
Glass door,10000.0,Furniture,Used,,"Description Glass door 
green colour",https://www.olx.com.pk/item/glass-door-iid-1105434830
"wallpapers, vinyle flooring, blinds and ceiling",10100.0,Furniture,Used,,"Description promotion 2500 rupees wallpaper role. 

we are selling & fitting gypsum roof / plastic of paris/ aluminium / dampa & other ceiling // cladding sheet / vinyl floor / wall paper/ artificial grass / wood floor and all kind of window blinds . . g
we are fitting at very reasonable price
our services are 100% free 
all products prices are negotiable 
for our services just call us on my contact nmbr
0300=9/6/8/3/2/3/0",https://www.olx.com.pk/item/wallpapers-vinyle-flooring-blinds-and-ceiling-iid-1065214188
Dinning table with six chairs,55000.0,Furniture,Used,,"Description Glass Dinning table with six chairs for sale. Premium quality Glass without any scratches, just like new . Chairs are also in very good condition.",https://www.olx.com.pk/item/dinning-table-with-six-chairs-iid-1105434836
want to sale,50000.0,Bed,Used,Wood,Description bed &  2side table  & dressing table,https://www.olx.com.pk/item/want-to-sale-iid-1105434834
Marble Vanity/ Wash Basin,21000.0,Furniture,New,,"Description Hand made Marble Vanity/ Wash Basins for sale
Call/Whatsapp for Order",https://www.olx.com.pk/item/marble-vanity-wash-basin-iid-1081618097
sofa set 5 seating,15000.0,Sofa,Used,,"Description New in condition 
cushion condition  10/10",https://www.olx.com.pk/item/sofa-set-5-seating-iid-1104187070
double bed WOODEN,25000.0,Bed,Used,Wood,Description double bed with mettruss 10/9 condition 18k tak lenay waly msg na karain,https://www.olx.com.pk/item/double-bed-wooden-iid-1105309476
Double bed with side tables,45000.0,Bed,Used,Wood,"Description Wooden furniture new design 
With dressing table 
Side tables 

Serious buyer contact plzz",https://www.olx.com.pk/item/double-bed-with-side-tables-iid-1105434933
brand new office chair,25500.0,Chair,New,,Description office chair. its brand new. its full option. with different setting up down back front. sofa seats highly comfortable for office work,https://www.olx.com.pk/item/brand-new-office-chair-iid-1086750739
2 seater neat and clean sofa,15000.0,Sofa,Used,,"Description 2 seater sofa neat and clean 
I have 2 same sofas each price is 15k",https://www.olx.com.pk/item/2-seater-neat-and-clean-sofa-iid-1103497553
